gene	locus_tag	start	end	strand	product
ybiV	b0822	859212	860028	-1	sugar phosphatase YbiV
ybiW	b0823	860173	862606	-1	putative pyruvate formate lyase
ybiY	b0824	862611	863511	-1	putative pyruvate formate-lyase activating enzyme YbiY
fsaA	b0825	863641	864304	1	fructose-6-phosphate aldolase 1
moeB	b0826	864379	865129	-1	molybdopterin-synthase adenylyltransferase
moeA	b0827	865128	866364	-1	molybdopterin molybdotransferase
iaaA	b0828	866567	867533	1	isoaspartyl dipeptidase proenzyme
gsiA	b0829	867519	869391	1	glutathione ABC transporter ATP binding subunit GsiA
gsiB	b0830	869410	870949	1	glutathione ABC transporter periplasmic binding protein
gsiC	b0831	870966	871887	1	glutathione ABC transporter membrane subunit GsiC
gsiD	b0832	871889	872801	1	glutathione ABC transporter membrane subunit GsiD
pdeI	b0833	872978	875327	1	putative cyclic di-GMP phosphodiesterase PdeI
dgcI	b0834	875334	876663	1	putative diguanylate cyclase DgcI
rimO	b0835	876709	878035	-1	ribosomal protein S12 methylthiotransferase RimO
bssR	b0836	878247	878631	1	regulator of biofilm formation
yliI	b0837	878741	879857	1	aldose sugar dehydrogenase YliI
gstB	b0838	879853	880480	-1	glutathione S-transferase GstB
dacC	b0839	880726	881929	1	D-alanyl-D-alanine carboxypeptidase DacC
deoR	b0840	881975	882734	-1	DNA-binding transcriptional repressor DeoR
ybjG	b0841	882791	883388	-1	undecaprenyl pyrophosphate phosphatase
mdfA	b0842	883672	884905	1	multidrug efflux pump MdfA/Na(+):H(+) antiporter/K(+):H(+) antiporter
ybjH	b0843	884945	885230	-1	uncharacterized protein YbjH
ybjI	b0844	885315	886131	-1	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase
ybjJ	b0845	886130	887339	-1	inner membrane protein YbjJ
rcdA	b0846	887422	887959	1	DNA binding transcriptional dual regulator RcdA
ybjL	b0847	888133	889819	-1	putative transport protein YbjL
ybjM	b0848	890088	890466	1	putative inner membrane protein
grxA	b0849	890495	890753	-1	reduced glutaredoxin 1
ybjC	b0850	890912	891200	1	DUF1418 domain-containing protein YbjC
nfsA	b0851	891183	891906	1	NADPH-dependent nitro/quinone reductase NfsA
rimK	b0852	891966	892869	1	ribosomal protein S6 modification protein
ybjN	b0853	892956	893433	1	protein YbjN
potF	b0854	893783	894896	1	putrescine ABC transporter periplasmic binding protein
potG	b0855	894990	896124	1	putrescine ABC transporter ATP binding subunit
potH	b0856	896133	897087	1	putrescine ABC transporter membrane subunit PotH
potI	b0857	897083	897929	1	putrescine ABC transporter membrane subunit PotI
ybjO	b0858	897988	898477	1	putative inner membrane protein
rlmC	b0859	898517	899645	1	23S rRNA m(5)U747 methyltransferase
artJ	b0860	899843	900575	-1	L-arginine ABC transporter periplasmic binding protein
artM	b0861	900865	901534	-1	L-arginine ABC transporter membrane subunit ArtM
artQ	b0862	901533	902250	-1	L-arginine ABC transporter membrane subunit ArtQ
artI	b0863	902256	902988	-1	putative ABC transporter periplasmic binding protein ArtI
artP	b0864	903005	903734	-1	L-arginine ABC transporter ATP binding subunit
ybjP	b0865	903951	904467	-1	DUF3828 domain-containing lipoprotein YbjP
ybjQ	b0866	904592	904916	1	putative heavy metal binding protein YbjQ
amiD	b0867	904912	905743	1	N-acetylmuramoyl-L-alanine amidase D
ybjS	b0868	905739	906753	-1	putative epimerase YbjS
ybjT	b0869	906851	908282	-1	putative NAD(P)-binding protein YbjT
ltaE	b0870	908292	909294	-1	low-specificity L-threonine aldolase
poxB	b0871	909330	911049	-1	pyruvate oxidase
hcr	b0872	911181	912150	-1	NADH oxidoreductase
hcp	b0873	912161	913814	-1	protein S-nitrosylase
lysO	b0874	913957	914857	-1	L-lysine/thialysine exporter
aqpZ	b0875	915351	916047	-1	water channel AqpZ
ybjD	b0876	916472	918131	1	DUF2813 domain-containing protein YbjD
ybjX	b0877	918127	919120	-1	DUF535 domain-containing protein YbjX
macA	b0878	919234	920350	1	ABC-type tripartite efflux pump membrane fusion protein
macB	b0879	920346	922293	1	ABC-type tripartite efflux pump ATP binding/membrane subunit
cspD	b0880	922365	922590	-1	DNA replication inhibitor CspD
yljB	b4770	922739	922814	1	protein YljB
clpS	b0881	922912	923233	1	specificity factor for ClpA-ClpP chaperone-protease complex
clpA	b0882	923263	925540	1	ATP-dependent Clp protease ATP-binding subunit ClpA
infA	b0884	926224	926443	-1	translation initiation factor IF-1
aat	b0885	926727	927432	-1	leucyl/phenylalanyl-tRNA--protein transferase
cydC	b0886	927473	929195	-1	heme ABC transporter subunit CydC
cydD	b0887	929195	930962	-1	heme ABC transporter subunit CydD
trxB	b0888	931084	932050	-1	thioredoxin reductase
lrp	b0889	932594	933089	1	DNA-binding transcriptional dual regulator Lrp
ftsK	b0890	933223	937213	1	cell division DNA translocase FtsK
lolA	b0891	937371	937983	1	outer membrane lipoprotein carrier protein
rarA	b0892	937993	939337	1	replication-associated recombination protein A
serS	b0893	939427	940720	1	serine--tRNA ligase
dmsA	b0894	940958	943403	1	dimethyl sulfoxide reductase subunit A
dmsB	b0895	943413	944031	1	dimethyl sulfoxide reductase subunit B
dmsC	b0896	944032	944896	1	dimethyl sulfoxide reductase subunit C
ycaC	b0897	944930	945557	-1	putative hydrolase YcaC
ycaD	b0898	945870	947019	1	putative transporter YcaD
ycaM	b0899	947228	948659	1	putative transporter YcaM
ycaN	b0900	948659	949568	-1	putative DNA-binding transcriptional regulator YcaN
ycaK	b0901	949667	950258	1	putative oxidoreductase YcaK
pflA	b0902	950339	951080	-1	pyruvate formate-lyase activating enzyme
pflB	b0903	951271	953554	-1	pyruvate formate-lyase
focA	b0904	953608	954466	-1	formate channel FocA
ycaO	b0905	954871	956632	-1	ribosomal protein S12 methylthiotransferase accessory factor YcaO
ycaP	b0906	956761	957454	1	DUF421 domain-containing protein YcaP
serC	b0907	957652	958741	1	phosphoserine/phosphohydroxythreonine aminotransferase
aroA	b0908	958811	960095	1	3-phosphoshikimate 1-carboxyvinyltransferase
ycaL	b0909	960263	961028	1	periplasmic protease YcaL
cmk	b0910	961200	961884	1	cytidylate kinase
rpsA	b0911	961994	963668	1	30S ribosomal subunit protein S1
ihfB	b0912	963827	964112	1	integration host factor subunit beta
ycaI	b0913	964319	966584	1	metallo-beta-lactamase superfamily inner membrane protein YcaI
msbA	b0914	966620	968369	1	ATP-binding lipopolysaccharide transport protein
lpxK	b0915	968365	969352	1	tetraacyldisaccharide 4'-kinase
ycaQ	b0916	969388	970621	1	interstrand DNA crosslink repair glycosylase
ycaR	b0917	970672	970855	1	PF03966 family protein YcaR
kdsB	b0918	970851	971598	1	3-deoxy-manno-octulosonate cytidylyltransferase
ycbJ	b0919	971751	972645	1	putative phosphotransferase YcbJ
elyC	b0920	972621	973401	-1	envelope biogenesis factor
cmoM	b0921	973536	974322	1	tRNA cmo(5)U34 methyltransferase
mukF	b0922	974318	975641	1	chromosome partitioning protein MukF
mukE	b0923	975621	976326	1	chromosome partitioning protein MukE
mukB	b0924	976325	980786	1	chromosome partitioning protein MukB
ldtD	b0925	981046	982894	1	L,D-transpeptidase LdtD
mepK	b0926	983074	983623	1	peptidoglycan L,D-endopeptidase
gloC	b0927	983649	984297	1	hydroxyacylglutathione hydrolase GloC
aspC	b0928	984518	985709	-1	aspartate aminotransferase
ompF	b0929	985893	986982	-1	outer membrane porin F
asnS	b0930	987584	988985	-1	asparagine--tRNA ligase
pncB	b0931	989153	990356	-1	nicotinate phosphoribosyltransferase
pepN	b0932	990621	993234	1	aminopeptidase N
ssuB	b0933	993276	994044	-1	aliphatic sulfonate ABC transporter ATP binding subunit
ssuC	b0934	994040	994832	-1	aliphatic sulfonate ABC transporter membrane subunit
ssuD	b0935	994842	995988	-1	FMNH2-dependent alkanesulfonate monooxygenase
ssuA	b0936	995984	996944	-1	aliphatic sulfonate ABC transporter periplasmic binding protein
ssuE	b0937	996936	997512	-1	NADPH-dependent FMN reductase
elfA	b0938	997867	998407	1	putative laminin-binding fimbrial subunit
elfD	b0939	998489	999191	1	putative fimbrial chaperone ElfD
elfC	b0940	999215	1001816	1	putative fimbrial usher protein ElfC
elfG	b0941	1001806	1002877	1	putative fimbrial-like adhesin protein
ycbU	b0942	1002888	1003431	1	putative fimbrial protein YcbU
ycbV	b0943	1003438	1003954	1	putative fimbrial protein YcbV
ycbF	b0944	1003946	1004657	1	putative fimbrial chaperone YcbF
pyrD	b0945	1004767	1005778	1	dihydroorotate dehydrogenase, type 2
zapC	b0946	1005951	1006494	1	cell division protein ZapC
ycbX	b0947	1006490	1007600	-1	6-N-hydroxylaminopurine resistance protein
rlmL	b0948	1007843	1009952	1	fused 23S rRNA m(2)G2445 methyltransferase and 23S rRNA m(7)G2069 methyltransferase
uup	b0949	1009963	1011871	1	ATP-binding protein Uup
pqiA	b0950	1012000	1013254	1	intermembrane transport protein PqiA
pqiB	b0951	1013258	1014899	1	intermembrane transport protein PqiB
pqiC	b0952	1014895	1015459	1	intermembrane transport lipoprotein PqiC
rmf	b0953	1015714	1015882	1	ribosome modulation factor
fabA	b0954	1015951	1016470	-1	beta-hydroxyacyl-acyl carrier protein dehydratase/isomerase
ycbZ	b0955	1016538	1018299	-1	putative ATP-dependent protease YcbZ
matP	b0956	1018484	1018937	1	macrodomain Ter protein
ompA	b0957	1019012	1020053	-1	outer membrane protein A
sulA	b0958	1020409	1020919	-1	cell division inhibitor SulA
sxy	b0959	1021137	1021767	1	transcriptional coactivator for CRP
yccS	b0960	1021729	1023883	-1	putative transporter YccS
yccF	b0961	1023901	1024348	-1	PF03733 family inner membrane protein YccF
helD	b0962	1024470	1026525	1	DNA helicase IV
mgsA	b0963	1026556	1027015	-1	methylglyoxal synthase
csgI	b0964	1027110	1027773	-1	curli synthesis inhibitor
yccU	b0965	1027945	1028359	1	putative HspQ acetyl donor
hspQ	b0966	1028403	1028721	-1	heat shock protein HspQ
rlmI	b0967	1028778	1029969	-1	23S rRNA m(5)C1962 methyltransferase
yccX	b0968	1030063	1030342	1	acylphosphatase
tusE	b0969	1030338	1030668	-1	sulfur transfer protein TusE
yccA	b0970	1030758	1031418	-1	modulator of FtsH protease
hyaA	b0972	1032138	1033257	1	hydrogenase 1 small subunit
hyaB	b0973	1033253	1035047	1	hydrogenase 1 large subunit
hyaC	b0974	1035065	1035773	1	hydrogenase 1 cytochrome b subunit
hyaD	b0975	1035769	1036357	1	putative hydrogenase 1 maturation protease HyaD
hyaE	b0976	1036353	1036752	1	putative HyaA chaperone
hyaF	b0977	1036748	1037606	1	protein HyaF
appC	b0978	1037739	1039284	1	cytochrome bd-II subunit 1
appB	b0979	1039295	1040432	1	cytochrome bd-II subunit 2
appX	b4592	1040444	1040537	1	cytochrome bd-II accessory subunit AppX
appA	b0980	1040616	1041915	1	periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase
etk	b0981	1042029	1044210	-1	protein-tyrosine kinase Etk
etp	b0982	1044229	1044676	-1	phosphotyrosine-protein phosphatase Etp
gfcE	b0983	1044663	1045803	-1	putative exopolysaccharide export lipoprotein GfcE
gfcD	b0984	1045848	1047945	-1	putative lipoprotein GfcD
gfcC	b0985	1047944	1048691	-1	capsule biosynthesis GfcC family protein
gfcB	b0986	1048687	1049332	-1	lipoprotein GfcB
gfcA	b0987	1049438	1049744	-1	threonine-rich inner membrane protein GfcA
insA4	b4516	1049832	1050108	1	IS1 protein InsA
insB4	b0988	1050026	1050530	1	IS1 protein InsB
cspH	b0989	1050962	1051175	-1	CspA family protein CspH
cspG	b0990	1051460	1051673	1	cold shock protein CspG
ymcF	b4723	1051683	1051872	1	protein YmcF
ymcE	b0991	1051846	1052077	1	protein YmcE
gnsA	b4517	1052066	1052240	1	putative phosphatidylethanolamine synthesis regulator GnsA
yccM	b0992	1052288	1053362	-1	putative electron transport protein YccM
torS	b0993	1053433	1056178	-1	sensor histidine kinase TorS
torT	b0994	1056260	1057289	1	periplasmic trimethylamine-N-oxide binding protein
torR	b0995	1057261	1057954	-1	DNA-binding transcriptional dual regulator TorR
torC	b0996	1058083	1059256	1	cytochrome c menaquinol dehydrogenase TorC
torA	b0997	1059255	1061802	1	trimethylamine N-oxide reductase 1
torD	b0998	1061798	1062398	1	trimethylamine-N-oxide reductase-specific chaperone
cbpM	b0999	1062549	1062855	-1	chaperone modulator CbpM
cbpA	b1000	1062854	1063775	-1	curved DNA-binding protein
yccE	b1001	1064035	1065292	1	uncharacterized protein YccE
agp	b1002	1065584	1066826	1	glucose-1-phosphatase
yccJ	b1003	1066863	1067091	-1	PF13993 family protein YccJ
wrbA	b1004	1067111	1067708	-1	NAD(P)H:quinone oxidoreductase
ymdF	b4518	1068080	1068254	1	stress-induced bacterial acidophilic repeat motifs-containing protein YmdF
rutG	b1006	1068510	1069839	-1	pyrimidine:H(+) symporter
rutF	b1007	1069859	1070354	-1	FMN reductase RutF
rutE	b1008	1070364	1070955	-1	putative malonic semialdehyde reductase
rutD	b1009	1070964	1071765	-1	putative aminoacrylate hydrolase RutD
rutC	b1010	1071772	1072159	-1	3-aminoacrylate deaminase
rutB	b1011	1072170	1072863	-1	ureidoacrylate amidohydrolase
rutA	b1012	1072862	1074011	-1	pyrimidine monooxygenase RutA
rutR	b1013	1074241	1074880	1	DNA-binding transcriptional regulator RutR
putA	b1014	1074919	1078882	-1	fused DNA-binding transcriptional repressor/proline dehydrogenase/1-pyrroline-5-carboxylate dehydrogenase PutA
ymdG	b4737	1079119	1079146	1	protein YmdG
putP	b1015	1079304	1080813	1	proline:Na(+) symporter
efeO	b1018	1082242	1083370	1	Fe(2(+)) transport system protein EfeO
efeB	b1019	1083375	1084647	1	heme-containing peroxidase/deferrochelatase
phoH	b1020	1084991	1086056	1	ATP-binding protein PhoH
pgaD	b1021	1086105	1086519	-1	poly-N-acetyl-D-glucosamine synthase subunit PgaD
pgaC	b1022	1086520	1087846	-1	poly-N-acetyl-D-glucosamine synthase subunit PgaC
pgaB	b1023	1087838	1089857	-1	poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase and beta-1,6 glycoside hydrolase
pgaA	b1024	1089865	1092289	-1	partially deacetylated poly-beta-1,6-N-acetyl-D-glucosamine export outer membrane porin
dgcT	b1025	1092875	1094234	1	putative diguanylate cyclase DgcT
insF4	b1026	1094274	1095141	-1	IS3 element protein InsF
insE4	b1027	1095137	1095437	-1	IS3 element protein InsE
ycdU	b1029	1095842	1096829	1	uncharacterized protein YcdU
ghrA	b1033	1097885	1098824	1	glyoxylate/hydroxypyruvate reductase A
ycdX	b1034	1098878	1099616	1	zinc-binding phosphatase YcdX
ycdY	b1035	1099639	1100194	1	chaperone protein YcdY
ycdZ	b1036	1100295	1100787	1	inner membrane protein YcdZ
csgG	b1037	1100850	1101684	-1	curli secretion channel
csgF	b1038	1101710	1102127	-1	curli assembly component CsgF
csgE	b1039	1102151	1102541	-1	curli assembly component CsgE
csgD	b1040	1102545	1103196	-1	DNA-binding transcriptional dual regulator CsgD
csgB	b1041	1103950	1104406	1	curlin, minor subunit
csgA	b1042	1104446	1104902	1	curlin
csgC	b1043	1104960	1105293	1	curlin chaperone
ymdA	b1044	1105413	1105725	1	uncharacterized protein YmdA
ymdB	b1045	1105819	1106353	1	2'-O-acetyl-ADP-ribose deacetylase, regulator of RNase III activity
clsC	b1046	1106354	1107776	1	cardiolipin synthase C
opgC	b1047	1107783	1108941	-1	osmoregulated periplasmic glucans (OPG) biosynthesis protein C
opgG	b1048	1109334	1110870	1	osmoregulated periplasmic glucans biosynthesis protein G
opgH	b1049	1110862	1113406	1	osmoregulated periplasmic glucans biosynthesis protein H
yceK	b1050	1113578	1113806	1	DUF1375 domain-containing lipoprotein YceK
msyB	b1051	1113806	1114181	-1	acidic protein MsyB
mdtG	b1053	1114263	1115490	-1	efflux pump MdtG
lpxL	b1054	1115661	1116582	-1	lauroyl acyltransferase
trhO	b1055	1116806	1117859	1	tRNA U34 hydroxylase TrhO
yceI	b1056	1117900	1118476	-1	protein YceI
yceJ	b1057	1118479	1119046	-1	putative cytochrome b561 YceJ
yceO	b1058	1119306	1119447	-1	DUF2770 domain-containing protein YceO
solA	b1059	1119467	1120586	-1	N-methyl-L-tryptophan oxidase
bssS	b1060	1120700	1120955	-1	regulator of biofilm formation
dinI	b1061	1121241	1121487	-1	DNA damage-inducible protein I
pyrC	b1062	1121560	1122607	-1	dihydroorotase
yceB	b1063	1122712	1123273	-1	putative lipid-binding lipoprotein YceB
grxB	b1064	1123406	1124054	-1	reduced glutaredoxin 2
mdtH	b1065	1124117	1125326	-1	multidrug efflux pump MdtH
rimJ	b1066	1125561	1126146	1	ribosomal-protein-S5-alanine N-acetyltransferase
yceH	b1067	1126156	1126804	1	DUF480 domain-containing protein YceH
yceM	b1068	1126805	1127729	1	putative oxidoreductase YceM
murJ	b1069	1127838	1129374	1	lipid II flippase MurJ
flgN	b1070	1129413	1129830	-1	flagellar biosynthesis protein FlgN
flgM	b1071	1129834	1130128	-1	anti-sigma factor for FliA (sigma(28))
flgA	b1072	1130203	1130863	-1	flagellar basal body P-ring formation protein FlgA
flgB	b1073	1131017	1131434	1	flagellar basal-body rod protein FlgB
flgC	b1074	1131437	1131842	1	flagellar basal-body rod protein FlgC
flgD	b1075	1131853	1132549	1	flagellar biosynthesis, initiation of hook assembly
flgE	b1076	1132573	1133782	1	flagellar hook protein FlgE
flgF	b1077	1133801	1134557	1	flagellar basal-body rod protein FlgF
flgG	b1078	1134728	1135511	1	flagellar basal-body rod protein FlgG
flgH	b1079	1135563	1136262	1	flagellar L-ring protein
flgI	b1080	1136273	1137371	1	flagellar P-ring protein
flgJ	b1081	1137370	1138312	1	putative peptidoglycan hydrolase FlgJ
flgK	b1082	1138377	1140021	1	flagellar hook-filament junction protein 1
flgL	b1083	1140032	1140986	1	flagellar hook-filament junction protein 2
rne	b1084	1141181	1144367	-1	ribonuclease E
yceQ	b1085	1144501	1144822	1	DUF2655 domain-containing protein YceQ
rluC	b1086	1144939	1145899	1	23S rRNA pseudouridine(955/2504/2580) synthase
yceF	b1087	1146010	1146595	-1	m(7)GTP pyrophosphatase
yceD	b1088	1146793	1147315	1	DUF177 domain-containing protein YceD
rpmF	b1089	1147366	1147540	1	50S ribosomal subunit protein L32
plsX	b1090	1147620	1148691	1	putative phosphate acyltransferase
fabH	b1091	1148758	1149712	1	3-oxoacyl-[acyl carrier protein] synthase 3
fabD	b1092	1149727	1150657	1	[acyl-carrier-protein] S-malonyltransferase
fabG	b1093	1150669	1151404	1	3-oxoacyl-[acyl-carrier-protein] reductase FabG
acpP	b1094	1151614	1151851	1	acyl carrier protein
fabF	b1095	1151938	1153180	1	3-oxoacyl-[acyl carrier protein] synthase 2
pabC	b1096	1153299	1154109	1	aminodeoxychorismate lyase
mltG	b1097	1154111	1155134	1	endolytic murein transglycosylase
tmk	b1098	1155123	1155765	1	Tmk
holB	b1099	1155761	1156766	1	DNA polymerase III subunit delta'
ycfH	b1100	1156776	1157574	1	putative metal-dependent hydrolase YcfH
ptsG	b1101	1157868	1159302	1	glucose-specific PTS enzyme IIBC component
fhuE	b1102	1159361	1161551	-1	ferric coprogen/ferric rhodotorulic acid outer membrane transporter
hinT	b1103	1161884	1162244	1	purine nucleoside phosphoramidase
ycfL	b1104	1162246	1162624	1	DUF1425 domain-containing protein YcfL
lpoB	b1105	1162637	1163279	1	outer membrane lipoprotein - activator of MrcB activity
thiK	b1106	1163259	1164084	1	thiamine kinase
nagZ	b1107	1164094	1165120	1	beta-N-acetylglucosaminidase
ycfP	b1108	1165142	1165685	1	PF05728 family protein YcfP
ndh	b1109	1166084	1167389	1	NADH:quinone oxidoreductase II
ycfJ	b1110	1167598	1168138	1	PF05433 family protein YcfJ
comR	b1111	1168199	1168832	-1	DNA-binding transcriptional repressor ComR
bhsA	b1112	1169072	1169330	1	DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA
ldtC	b1113	1169411	1170374	-1	L,D-transpeptidase LdtC
mfd	b1114	1170517	1173964	-1	transcription-repair coupling factor
ycfT	b1115	1174091	1175165	-1	inner membrane protein YcfT
lolC	b1116	1175426	1176626	1	lipoprotein release complex - inner membrane subunit
lolD	b1117	1176618	1177320	1	lipoprotein release complex - ATP binding subunit
lolE	b1118	1177319	1178564	1	lipoprotein release complex - inner membrane subunit
nagK	b1119	1178592	1179504	1	N-acetyl-D-glucosamine kinase
cobB	b1120	1179519	1180359	1	protein-lysine deacetylase/desuccinylase/lipoamidase
cobB	b1120	1179630	1180359	1	CobB-S
ycfZ	b1121	1180478	1181267	-1	putative inner membrane protein YcfZ
ymfA	b1122	1181263	1181725	-1	putative inner membrane protein YmfA
potD	b1123	1181782	1182829	-1	spermidine preferential ABC transporter periplasmic binding protein
potC	b1124	1182825	1183620	-1	spermidine preferential ABC transporter membrane subunit PotC
potB	b1125	1183616	1184444	-1	spermidine preferential ABC transporter membrane subunit PotB
potA	b1126	1184457	1185594	-1	spermidine preferential ABC transporter ATP binding subunit
pepT	b1127	1185843	1187070	1	peptidase T
roxA	b1128	1187118	1188240	-1	50S ribosomal protein L16-arginine 3-hydroxylase
phoQ	b1129	1188315	1189776	-1	sensor histidine kinase PhoQ
phoP	b1130	1189775	1190447	-1	DNA-binding transcriptional dual regulator PhoP
purB	b1131	1190615	1191986	-1	adenylosuccinate lyase
hflD	b1132	1191989	1192631	-1	lysogenization regulator
mnmA	b1133	1192666	1193773	-1	tRNA-specific 2-thiouridylase
nudJ	b1134	1193826	1194288	-1	phosphatase NudJ
rluE	b1135	1194297	1194951	-1	23S rRNA pseudouridine(2457) synthase
icd	b1136	1195122	1196373	1	isocitrate dehydrogenase
ymfD	b1137	1196866	1197532	-1	putative SAM-dependent methyltransferase YmfD
ymfE	b1138	1197532	1198237	-1	uncharacterized protein YmfE
lit	b1139	1198694	1199588	1	cell death peptidase Lit
intE	b1140	1199678	1200806	-1	putative integrase
xisE	b1141	1200786	1201032	-1	putative excisionase
ymfH	b1142	1201068	1201380	-1	putative protein YmfH
ymfI	b1143	1201496	1201838	1	uncharacterized protein YmfI
ymfJ	b1144	1201775	1202084	-1	uncharacterized protein YmfJ
ymfK	b1145	1202258	1202933	-1	putative repressor protein YmfK
ymfT	b1146	1203023	1203224	1	putative DNA-binding transcriptional regulator YmfT
ymfL	b1147	1203267	1203825	1	uncharacterized protein YmfL
ymfM	b1148	1203821	1204160	1	cell division inhibitor YmfM
ymfN	b1149	1204169	1205537	1	chimeric replication protein/phage terminase YmfN
ymfR	b1150	1205548	1205731	1	IPR020297 domain-containing protein YmfR
beeE	b1151	1205730	1206204	1	protein BeeE
ymfQ	b1153	1206912	1207497	1	DUF2313 domain-containing protein YmfQ
ycfK	b1154	1207500	1208130	1	protein StfP
tfaP	b1155	1208131	1208545	1	putative tail fiber assembly protein TfaP
tfaE	b1156	1208516	1209119	-1	putative tail fiber assembly protein TfaE
pinE	b1158	1209684	1210239	1	site-specific DNA recombinase
mcrA	b1159	1210345	1211179	1	Type IV methyl-directed restriction enzyme EcoKMcrA
iraM	b1160	1211679	1212003	-1	anti-adaptor protein IraM
ymgK	b4738	1212259	1212304	-1	protein YmgK
ymgL	b4739	1212539	1212650	-1	protein YmgL
ycgX	b1161	1212702	1213107	-1	DUF1398 domain-containing protein YcgX
bluR	b1162	1213327	1214059	-1	DNA-binding transcriptional repressor BluR
bluF	b1163	1214263	1215475	-1	blue light- and temperature-regulated antirepressor BluF
ycgZ	b1164	1215788	1216025	1	putative two-component system connector protein YcgZ
ymgA	b1165	1216067	1216340	1	putative two-component system connector protein YmgA
ariR	b1166	1216368	1216635	1	putative two-component system connector protein AriR
ymgC	b1167	1216747	1216996	1	protein YmgC
pdeG	b1168	1217327	1218851	1	putative cyclic di-GMP phosphodiesterase PdeG
ymgF	b4520	1218982	1219201	1	division septum component YmgF
ymgD	b1171	1222304	1222634	-1	PF16456 family protein YmgD
ymgG	b1172	1222643	1222988	-1	PF13436 family protein YmgG
ymgI	b4593	1222989	1223163	-1	uncharacterized protein YmgI
ymgJ	b4594	1223263	1223449	1	uncharacterized protein YmgJ
minE	b1174	1224278	1224545	-1	Z-ring positioning protein MinE
minD	b1175	1224548	1225361	-1	Z-ring positioning protein MinD
minC	b1176	1225384	1226080	-1	Z-ring positioning protein MinC
ycgJ	b1177	1226599	1226968	1	PF05666 family protein YcgJ
pliG	b1178	1227070	1227472	-1	inhibitor of g-type lysozyme
ymgN	b4816	1227367	1227427	1	protein YmgN
ycgL	b1179	1227680	1228007	1	PF05166 family protein YcgL
ycgM	b1180	1228078	1228738	1	oxaloacetate tautomerase
ycgN	b1181	1228814	1229276	1	putative metal-chelating domain-containing protein YcgN
hlyE	b1182	1229482	1230394	-1	hemolysin E
umuD	b1183	1230766	1231186	1	DNA polymerase V protein UmuD
umuC	b1184	1231185	1232454	1	DNA polymerase V catalytic protein
dsbB	b1185	1232499	1233030	-1	protein thiol:quinone oxidoreductase DsbB
nhaB	b1186	1233175	1234717	-1	Na(+):H(+) antiporter NhaB
fadR	b1187	1234937	1235657	1	DNA-binding transcriptional dual regulator FadR
ycgB	b1188	1235708	1237241	-1	PF04293 family protein YcgB
dadA	b1189	1237570	1238869	1	D-amino acid dehydrogenase
dadX	b1190	1238878	1239949	1	alanine racemase 2
ymgM	b4740	1240259	1240463	1	protein YmgM
cvrA	b1191	1240334	1242071	-1	putative K(+):H(+) antiporter
ldcA	b1192	1242165	1243080	-1	murein tetrapeptide carboxypeptidase
emtA	b1193	1243179	1243791	1	lytic murein transglycosylase E
ycgR	b1194	1243792	1244527	-1	flagellar brake protein YcgR
ymgE	b1195	1244727	1244982	1	PF04226 family protein YmgE
ycgY	b1196	1245159	1245600	1	uncharacterized protein YcgY
treA	b1197	1245678	1247376	-1	periplasmic trehalase
dhaM	b1198	1247695	1249114	-1	dihydroxyacetone kinase subunit M
dhaL	b1199	1249124	1249757	-1	dihydroxyacetone kinase subunit L
dhaK	b1200	1249767	1250838	-1	dihydroxyacetone kinase subunit K
dhaR	b1201	1251065	1252985	1	DNA-binding transcriptional dual regulator DhaR
ycgV	b1202	1253084	1255952	-1	putative autotransporter adhesin YcgV
ychF	b1203	1256720	1257812	-1	redox-responsive ATPase YchF
pth	b1204	1257928	1258513	-1	peptidyl-tRNA hydrolase
ychH	b1205	1258790	1259069	1	stress-induced protein
dauA	b1206	1259123	1260803	-1	aerobic C4-dicarboxylate transporter DauA
prs	b1207	1260927	1261875	-1	ribose-phosphate diphosphokinase
ispE	b1208	1262025	1262877	-1	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
lolB	b1209	1262876	1263500	-1	outer membrane lipoprotein LolB
hemA	b1210	1263713	1264970	1	glutamyl-tRNA reductase
prfA	b1211	1265011	1266094	1	peptide chain release factor RF1
prmC	b1212	1266093	1266927	1	protein-(glutamine-N(5)) methyltransferase
ychQ	b1213	1266923	1267316	1	SirB family protein YchQ
ychA	b1214	1267319	1268129	1	transglutaminase-like/TPR repeat-containing protein
kdsA	b1215	1268164	1269019	1	3-deoxy-D-manno-octulosonate 8-phosphate synthase
ldrA	b4419	1269167	1269275	-1	small toxic polypeptide LdrA
ldrB	b4421	1269702	1269810	-1	small toxic polypeptide LdrB
ldrC	b4423	1270237	1270345	-1	small toxic polypeptide LdrC
chaA	b1216	1270748	1271849	-1	Na(+)/K(+):H(+) antiporter ChaA
chaB	b1217	1272118	1272349	1	putative cation transport regulator ChaB
chaC	b1218	1272506	1273202	1	glutathione-specific gamma-glutamylcyclotransferase
ychN	b1219	1273245	1273599	-1	DsrE/F sulfur relay family protein YchN
ychO	b1220	1273783	1275178	1	putative invasin YchO
narL	b1221	1275178	1275829	-1	DNA-binding transcriptional dual regulator NarL
narX	b1222	1275821	1277618	-1	sensor histidine kinase NarX
